glucose_freq,end_time,acc_x_mean,acc_x_std,acc_x_max,acc_x_min,acc_x_delta,acc_x_peak_freq,acc_y_mean,acc_y_std,acc_y_max,acc_y_min,acc_y_delta,acc_y_peak_freq,acc_z_mean,acc_z_std,acc_z_max,acc_z_min,acc_z_delta,acc_z_peak_freq,bvp_mean,bvp_std,bvp_max,bvp_min,bvp_delta,bvp_peak_freq,eda_mean,eda_std,eda_max,eda_min,eda_delta,eda_peak_freq,temp_mean,temp_std,temp_max,temp_min,temp_delta,temp_peak_freq,ibi_mean,ibi_std,ibi_max,ibi_min,ibi_delta,ibi_peak_freq,hr_mean,hr_std,hr_max,hr_min,hr_delta,hr_peak_freq,calorie_sum,total_carb_sum,sugar_sum,protein_sum
0,2020-05-03 18:52:14,0.2103269537480063,0.1462186692661233,0.5131578947368421,0.0232057416267942,0.4899521531100479,0.3333333333333333,0.5530558049072412,0.2609477772791906,0.915394973070018,0.1786355475763016,0.3916068222621185,0.16666666666666666,0.704194391634981,0.1683022710092025,0.9569866920152093,0.4881178707224334,0.3464828897338404,0.5,0.4811813409203869,0.0178673707104001,0.5282269036224558,0.460208538303412,-0.0248075592776298,0.3333333333333333,0.0063436523346281,0.0019886850056223,0.01065510498507,0.0044745837389317,0.0003635536504559,0.16666666666666666,0.7750353857041753,0.0424374039143781,0.8545647558386411,0.7239915074309979,-0.0732484076433122,0.16666666666666666,0.5930737711730582,0.0849512627610647,0.7142863079505976,0.3766236140893299,-0.0259745009059326,0.3333333333333333,0.2174066837353456,0.0921402497468159,0.4283789246732247,0.0892736827920765,-0.2021290931141356,0.3333333333333333,0.0,0.0,0.0,0.0
0,2020-05-03 18:57:13,0.2239433811802232,0.1343342136730388,0.5131578947368421,0.0270334928229665,0.1595693779904306,0.3333333333333333,0.5630984440454817,0.2611804725152599,0.915394973070018,0.1786355475763016,0.0502692998204667,0.16666666666666666,0.7376425855513308,0.1614050781266308,0.9569866920152093,0.4881178707224334,0.3079847908745247,0.3333333333333333,0.4788437699977519,0.0170804028742282,0.5282269036224558,0.460208538303412,-0.0026668281896929,0.16666666666666666,0.0063879318648164,0.0019488010860026,0.01065510498507,0.0045584840948335,-0.0017339115717328,0.16666666666666666,0.7687544232130219,0.0423730795382864,0.8545647558386411,0.7239915074309979,-0.0764331210191082,0.16666666666666666,0.5898270278207195,0.0849738114049305,0.7142863079505976,0.3766236140893299,0.0259745009059325,0.3333333333333333,0.200562592642501,0.0957867163283765,0.4283789246732247,0.0892736827920765,-0.1699231909446167,0.16666666666666666,600.0,60.0,54.0,6.0
0,2020-05-03 19:02:13,0.234090909090909,0.1221546229836144,0.5131578947368421,0.0377990430622009,-0.2447368421052632,0.3333333333333333,0.566240275284261,0.2615449076198307,0.915394973070018,0.1786355475763016,-0.2982495511669657,0.16666666666666666,0.7606939163498098,0.1569182622253414,0.9569866920152093,0.4881178707224334,0.1623098859315589,0.3333333333333333,0.4788742442603032,0.0170713894886314,0.5282269036224558,0.460208538303412,0.0142036480805742,0.16666666666666666,0.00624809975812,0.001981185480312,0.01065510498507,0.0045584840948335,-0.0055932405925034,0.16666666666666666,0.7608811040339702,0.0425787960417864,0.8545647558386411,0.7165605095541401,-0.089171974522293,0.16666666666666666,0.5941560420441386,0.08382320375422,0.7142863079505976,0.3766236140893299,-0.0389609202280623,0.16666666666666666,0.1856724161164263,0.0996534637870953,0.4283789246732247,0.0805147554237973,-0.1375825360463549,0.16666666666666666,600.0,60.0,54.0,6.0
0,2020-05-03 19:07:13,0.2094497607655502,0.116771433046218,0.5131578947368421,0.0377990430622009,-0.1296650717703349,0.3333333333333333,0.547763315380012,0.2422026742146336,0.915394973070018,0.1786355475763016,-0.2275583482944345,0.16666666666666666,0.766674588086185,0.1556226541075427,0.9569866920152093,0.4881178707224334,0.1442490494296577,0.5,0.4803799370035038,0.0160411366116457,0.5282269036224558,0.4703299560680012,0.0067311324688831,0.3333333333333333,0.0057983109401055,0.0014240675520271,0.0093686474196949,0.0045584840948335,-0.0041110082507984,0.16666666666666666,0.7533616418966739,0.0419001839107837,0.8545647558386411,0.7154989384288748,-0.0817409766454351,0.16666666666666666,0.5898270278207195,0.0827801786791616,0.7142863079505976,0.3766236140893299,0.2077918515932778,0.16666666666666666,0.1826853972959619,0.0991290221384145,0.4283789246732247,0.0805147554237973,-0.0133405201455329,0.3333333333333333,600.0,60.0,54.0,6.0
0,2020-05-03 19:12:14,0.2017942583732056,0.1184785076854603,0.5131578947368421,0.0377990430622009,0.097846889952153,0.3333333333333333,0.5264063435068821,0.216806446292702,0.8949730700179533,0.1786355475763016,0.0796678635547576,0.16666666666666666,0.7837650506970849,0.1497131643040768,0.9569866920152093,0.4881178707224334,0.1416349809885931,0.3333333333333333,0.4804199718190122,0.0160176664921532,0.5282269036224558,0.4703299560680012,-0.0029274161561519,0.16666666666666666,0.0055093274979565,0.0008825956577796,0.007466956973836,0.0045584840948335,-0.0005873024913121,0.16666666666666666,0.7451344656758669,0.0421928744992514,0.8545647558386411,0.6985138004246285,-0.1560509554140126,0.16666666666666666,0.6103898280667343,0.0485930338500149,0.7142863079505976,0.5584417959075116,-0.0909090909090909,0.16666666666666666,0.1747518303912321,0.1017763491690646,0.4283789246732247,0.0805147554237973,-0.1154157121681715,0.16666666666666666,779.0,70.0,56.2,13.8
1,2020-05-03 19:17:13,0.20524322169059,0.113779766129142,0.5131578947368421,0.0791866028708134,-0.1375598086124401,0.3333333333333333,0.5230961998803112,0.216225527691208,0.8949730700179533,0.1786355475763016,0.3610861759425493,0.16666666666666666,0.7911517743979721,0.1467009585267532,0.9569866920152093,0.4881178707224334,0.2882604562737643,0.3333333333333333,0.481662120372142,0.0161327636350912,0.5282269036224558,0.4703299560680012,0.0143595102531269,0.16666666666666666,0.0053928016522793,0.0008325026382322,0.007466956973836,0.0045584840948335,-0.0023771185167431,0.16666666666666666,0.7323956121726822,0.0261932990926287,0.7908704883227178,0.6985138004246285,-0.0891719745222932,0.16666666666666666,0.6103898280667343,0.0485930338500149,0.7142863079505976,0.5584417959075116,0.0649354211339948,0.16666666666666666,0.1642186587611732,0.103664368758961,0.4283789246732247,0.0805147554237973,-0.0758657862821722,0.16666666666666666,779.0,70.0,56.2,13.8
2,2020-05-03 19:22:13,0.195115629984051,0.1179935234638711,0.5131578947368421,0.0791866028708134,-0.0995215311004785,0.3333333333333333,0.5655857271095153,0.1910098737802431,0.8949730700179533,0.1786355475763016,0.3489676840215441,0.16666666666666666,0.8132723384030419,0.1129940856551204,0.9569866920152093,0.50356463878327,-0.0836501901140684,0.16666666666666666,0.4815671281017232,0.0161756457895891,0.5282269036224558,0.4703299560680012,-0.0011287742326995,0.3333333333333333,0.0052949197235337,0.0006042129673151,0.006292373828889,0.0045584840948335,0.0001398266472771,0.16666666666666666,0.7225760792639774,0.0242976629971766,0.7696390658174098,0.673036093418259,-0.0966029723991508,0.16666666666666666,0.6093075571956538,0.0477842986972884,0.7142863079505976,0.5584417959075116,-0.0389609202280624,0.16666666666666666,0.1619278623725463,0.1039422845448638,0.4283789246732247,0.0805147554237973,-0.2905942595337557,0.16666666666666666,779.0,70.0,56.2,13.8
3,2020-05-03 19:27:13,0.1880382775119616,0.1205379095854047,0.5131578947368421,0.0791866028708134,-0.1062200956937799,0.3333333333333333,0.5938435068821065,0.1792497107038226,0.8949730700179533,0.1786355475763016,0.5,0.16666666666666666,0.8091730038022815,0.1129388162762278,0.9569866920152093,0.50356463878327,0.2844581749049429,0.16666666666666666,0.4873598010952116,0.0242381840822261,0.5450007679891554,0.4703299560680012,0.0667856200729345,0.16666666666666666,0.0053415304257659,0.0006916367176119,0.0067118756083976,0.0045584840948335,0.0008110294944909,0.3333333333333333,0.7192144373673036,0.0195141228696918,0.7367303609341825,0.673036093418259,-0.0021231422505307,0.16666666666666666,0.6071430847143957,0.0450310357282191,0.7142863079505976,0.5584417959075116,0.025973669775096,0.3333333333333333,0.1339610564613933,0.0626998006080422,0.268966446570543,0.0805147554237973,-0.1440506670260073,0.16666666666666666,779.0,70.0,56.2,13.8
4,2020-05-03 19:32:13,0.1708333333333332,0.130502116583029,0.5131578947368421,0.0095693779904306,-0.2255980861244019,0.3333333333333333,0.6241023339317774,0.1253231676464665,0.8949730700179533,0.3574955116696588,0.1842459605026931,0.3333333333333333,0.8103216096324463,0.1095679615713244,0.9569866920152093,0.5173479087452472,-0.3645437262357414,0.3333333333333333,0.4835275131957646,0.0289860040283131,0.5450007679891554,0.4322276931228553,-0.0381022629451459,0.5,0.0054603874434869,0.0008904658576339,0.0073271303265588,0.0045584840948335,0.0027686462317253,0.16666666666666666,0.7241684359518755,0.028412318706505,0.7908704883227178,0.673036093418259,0.0583864118895967,0.16666666666666666,0.6071430847143957,0.0450310357282191,0.7142863079505976,0.5584417959075116,0.0649354211339949,0.16666666666666666,0.123472802407582,0.0538270986594785,0.268966446570543,0.0805147554237973,-0.1579975744508826,0.3333333333333333,779.0,70.0,56.2,13.8
5,2020-05-03 19:37:13,0.1963516746411483,0.1686028556366628,0.5413875598086124,0.0095693779904306,0.2507177033492823,0.16666666666666666,0.6080004488330341,0.1678791585899859,0.8949730700179533,0.1642728904847396,-0.4605026929982048,0.16666666666666666,0.8020239226869456,0.1074041461077516,0.9569866920152093,0.5173479087452472,-0.1746673003802282,0.3333333333333333,0.484477184306453,0.0286995725720477,0.5450007679891554,0.4322276931228553,-0.0465008942261934,0.3333333333333333,0.0053420163140842,0.0010927028672052,0.0073271303265588,0.0031380305420006,-0.00156028020011,0.16666666666666666,0.7306263269639065,0.0377475699758601,0.8099787685774947,0.673036093418259,0.0859872611464968,0.16666666666666666,0.6071430847143956,0.0450310357282191,0.7142863079505976,0.5584417959075116,0.0,0.16666666666666666,0.1103119525670394,0.0282500101535636,0.1822530656245789,0.0805147554237973,-0.0043794636841395,0.3333333333333333,779.0,70.0,56.2,13.8
